,,Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
SVM-Smote,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.7579,0.8671,0.8569,0.9988,0.7826,0.7347
SMOTE-EN,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5072,0.8557,0.8439,0.9964,0.3933,0.7143
SMOTE-EN,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.4966,0.8658,0.8558,0.9962,0.375,0.7347
SMOTE-EN,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1527,0.8967,0.8931,0.9766,0.0842,0.8163
SMOTE-EN,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.6789,0.8769,0.8684,0.9982,0.6167,0.7551
SMOTE-EN,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.7659999999999999,0.8671,0.8569,0.9988,0.8,0.7347
SMOTE-EN,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.75,0.8671,0.8569,0.9987,0.7659999999999999,0.7347
SMOTE-EN,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
SMOTE-Tomek,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5455,0.8661,0.8561,0.9968,0.4337,0.7347
SMOTE-Tomek,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5496,0.8661,0.8561,0.9969,0.439,0.7347
SMOTE-Tomek,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.1572,0.8971,0.8934,0.9774,0.087,0.8163
SMOTE-Tomek,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.7129,0.8669,0.8568,0.9985,0.6923,0.7347
SMOTE-Tomek,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.7872,0.8773,0.8688,0.9989,0.8222,0.7551
SMOTE-Tomek,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
SMOTE-Tomek,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
